192.168.0.1 - guest [22/Mar/2021:07:00:37 +0000] "GET /api/overview?lengths_age=60&lengths_incr=5&msg_rates_age=60&msg_rates_incr=5 HTTP/1.1" 502 157 "http://localhost:5000/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /js/tmpl/overview.ejs?0.949450545051151 HTTP/1.1" 200 12507 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /js/tmpl/partition.ejs?0.7574380928688644 HTTP/1.1" 200 2658 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /img/collapse.png HTTP/1.1" 200 226 "http://192.168.206.128:5000/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /img/expand.png HTTP/1.1" 200 221 "http://192.168.206.128:5000/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /img/bg-green-dark.png HTTP/1.1" 200 190 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /js/tmpl/status.ejs?0.29579370902772806 HTTP/1.1" 200 66 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:34 +0000] "GET /api/overview?lengths_age=60&lengths_incr=5&msg_rates_age=60&msg_rates_incr=5 HTTP/1.1" 200 956 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:34 +0000] "GET /api/vhosts HTTP/1.1" 200 239 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:34 +0000] "GET /api/nodes HTTP/1.1" 200 2767 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:39 +0000] "GET /api/overview?lengths_age=60&lengths_incr=5&msg_rates_age=60&msg_rates_incr=5 HTTP/1.1" 200 955 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
